Deform_axial_(%),Deform_Vol_(%),Sigma_d_(kPa),Sigma_3_(kPa),Sigma_1_(kPa),Sigma'_1_(kPa),Sigma3'_(kPa),Sigma'_1/Sigma'_3,t,s,s',q,p,p'
15.7255691,1.8844268000000002,562.95,200,762.95,762.95,200,3.81,281.475,481.475,481.475,562.95,387.65000000000003,387.65000000000003
16.0275967,1.8355182,561.33,200,761.33,761.33,200,3.81,280.665,480.665,480.665,561.33,387.10999999999996,387.10999999999996
16.3296242,1.8556568999999998,554.85,200,754.85,754.85,200,3.77,277.425,477.425,477.425,554.85,384.95,384.95
16.6316518,1.826887,551.61,200,751.61,751.61,200,3.76,275.805,475.805,475.805,551.61,383.87000000000006,383.87000000000006
16.943747000000002,1.8355182,546.75,200,746.75,746.75,200,3.73,273.375,473.375,473.375,546.75,382.25,382.25
17.2457746,1.8211333,541.89,200,741.89,741.89,200,3.71,270.945,470.945,470.945,541.89,380.62999999999994,380.62999999999994
17.547802100000002,1.826887,537.03,200,737.03,737.03,200,3.69,268.515,468.515,468.515,537.03,379.01,379.01
17.8498297,1.7923634000000002,532.98,200,732.98,732.98,200,3.66,266.49,466.49,466.49,532.98,377.66,377.66
18.1518573,1.7405773999999998,523.26,200,723.26,723.26,200,3.62,261.63,461.63,461.63,523.26,374.42,374.42
18.453884900000002,1.7837322,518.4,200,718.4,718.4,200,3.59,259.2,459.2,459.2,518.4,372.8,372.8
18.7559124,1.7693473000000002,511.92,200,711.9200000000001,711.9200000000001,200,3.56,255.96000000000004,455.96000000000004,455.96000000000004,511.92,370.64000000000004,370.64000000000004
19.057940000000002,1.7635934999999998,507.06,200,707.06,707.06,200,3.54,253.52999999999997,453.53,453.53,507.06,369.02,369.02
19.3700352,1.7549623,500.58,200,700.5799999999999,700.5799999999999,200,3.5,250.28999999999996,450.28999999999996,450.28999999999996,500.58,366.85999999999996,366.85999999999996
19.6821303,1.7492086,494.262,200,694.262,694.262,200,3.47,247.13099999999997,447.131,447.131,494.262,364.75399999999996,364.75399999999996
19.994225500000002,1.6974226,484.947,200,684.947,684.947,200,3.42,242.4735,442.4735,442.4735,484.947,361.64900000000006,361.64900000000006
20.3163882,1.6456365000000002,479.034,200,679.034,679.034,200,3.4,239.517,439.517,439.517,479.034,359.67800000000005,359.67800000000005
